algorithm,function,dim,max_eval,mean,std,min,max,avg_nearest_neighbor_distance_mean,dispersion_mean,avg_exploration_pct_mean,avg_distance_to_best_mean,intensification_ratio_mean,avg_exploitation_pct_mean,average_convergence_rate_mean,avg_improvement_mean,success_rate_mean,longest_no_improvement_streak_mean,last_improvement_fraction_mean
AdaptiveDifferentialEvolutionOptimizer,F122022,10,200000,2865.6363416293016,0.53581872964765,2864.707972312801,2865.958638315119,4.239774249166377,214.3570625147921,9.338335837511014,21.739142659044184,0.7506175889328063,90.66166416248899,0.9946501419557856,39.38795029851504,0.00874613959234095,1377.8,0.09677578752316245
AdaptiveDifferentialEvolutionOptimizer,F22022,10,200000,407.3458492682354,0.24626450981712036,407.0205512594017,407.63895269626767,5.190759235800976,211.69067360483103,21.42262927666451,51.01186095209139,0.423344861660079,78.57737072333549,0.994300412297482,165.7426748238492,0.02349598517603459,381.4,0.005806053119209388
AdaptiveDifferentialEvolutionOptimizer,F32022,10,200000,600.0,0.0,600.0,600.0,3.891694897552136,213.63788492740795,3.2913724440209706,5.495780916391466,0.962697628458498,96.70862755597904,0.9954887241223451,0.016375338383585576,0.013588634959851761,7023.2,0.8675972822730081
AdaptiveDifferentialEvolutionOptimizer,F42022,10,200000,814.7608745647196,3.507318340891141,810.1950687556592,820.0236216346229,11.384635741628747,211.93043452641277,49.21433381915695,120.65910897682002,0.07512351778656126,50.78566618084305,0.9948162850928848,12.64969306887997,0.004570722668313773,2007.0,0.17843113032736257
AdaptiveDifferentialEvolutionOptimizer,F52022,10,200000,900.0000009170105,1.3117426355032602e-06,900.0000000002773,900.0000031738837,5.697623736818561,208.6344682462689,6.169436261259291,11.949719007035132,0.8180088932806324,93.83056373874071,0.9951042377731689,0.08192741738759016,0.06784434836318716,409.8,0.04407659048795553
AdaptiveDifferentialEvolutionOptimizer,F62022,10,200000,7428.568491616083,3149.009400953323,3938.501669212547,11088.427992099347,9.925640341427641,214.81445072871838,44.48485161696956,107.02853529251531,0.15827569169960473,55.51514838303044,0.9926701867275769,250284173.67548284,0.008252007411982705,1326.6,0.05887584928968499
AdaptiveDifferentialEvolutionOptimizer,F72022,10,200000,2000.6478463997223,0.27229172535910734,2000.1908265950694,2000.8888326581039,11.555278048767448,203.39131253893558,60.80747170596203,149.69595365683463,0.06714426877470356,39.192528294037956,0.9942121214283743,692.4305049652979,0.015095738109944409,777.6,0.059814700432365656
AdaptiveDifferentialEvolutionOptimizer,F82022,10,200000,2203.3271817347286,1.4086088936442498,2202.2210293020394,2205.725751955632,12.63248940623119,210.1161849403407,61.17644428123244,151.06289219567984,0.07546936758893281,38.823555718767565,0.9903247475091483,5.3052900814716045e+17,0.007782581840642372,1353.8,0.0753551575046325
AdaptiveDifferentialEvolutionOptimizer,F92022,10,200000,2634.9661011249987,60.78010841909199,2526.255536261934,2663.0457487347994,6.800282045076777,207.84037177248052,19.040671524729213,45.27097731944474,0.2349802371541502,80.95932847527078,0.9943866777170658,246.46116525833563,0.008079061148857319,980.6,0.02394070413835701
AdaptiveDifferentialEvolutionPSO,F102022,10,200000,2643.3843177486083,49.79253275282743,2620.8726497489797,2732.4553971940322,2.9680615820332217,280.673988271051,2.000514470369908,3.286266827950736,0.9541859014348096,97.99948552963009,0.9944833063269621,33.4365791865561,0.014998752183678563,6045.4,0.7543548789618167
AdaptiveDifferentialEvolutionPSO,F112022,10,200000,3044.1721265652022,439.383442294902,2600.0,3479.266578641377,5.64289112829867,300.18434448050755,14.037248323387354,52.1927527516227,0.37804117280099814,85.96275167661265,0.994241837395402,1134.0159966575902,0.01115547791365111,5398.2,0.6420514100324433
AdaptiveDifferentialEvolutionPSO,F12022,10,200000,300.0,0.0,300.0,300.0,3.846974308474697,249.57569111875006,2.674836645594784,4.699188510815478,0.9528883343730505,97.32516335440522,0.9931834516635254,2513018.498799117,0.014873970551534815,5981.6,0.7463938108310456
AdaptiveDifferentialEvolutionPSO,F122022,10,200000,2867.012651300132,1.0674170959805909,2865.9006083171826,2868.632292802214,2.2432933816451692,294.2613116381803,3.0726531133102686,6.566777037810441,0.9110917030567686,96.92734688668972,0.9944495601602092,213.17385386480078,0.015148490142251062,3992.4,0.3768405290741203
AdaptiveDifferentialEvolutionPSO,F22022,10,200000,406.94997958777185,2.6922243050719143,403.99868466297926,408.9161019277816,2.418880313694003,292.9727118532597,2.130838453842135,2.817070802985066,0.7944354335620711,97.86916154615787,0.9942385374542931,211.76564140155224,0.05380583978038432,3039.4,0.3746942850012478
AdaptiveDifferentialEvolutionPSO,F32022,10,200000,600.0,0.0,600.0,600.0,2.237281065605674,282.9889560957794,1.5223252634191033,2.459023497983227,0.9729507174048658,98.4776747365809,0.9953912125018285,0.030385371094904145,0.011280259545794858,6610.4,0.8248565011230348
